Section,Modules,Has a mental health condition,Does not have a mental health condition,Has a long term health condition,Does not have a long term health condition,Has disability,Has no disability,Total persons
Community involvement,Has undertaken unpaid voluntary work through an organisation in last 12 months,458.4,2255.7,1337.9,1363.3,699.6,2024.8,2717.8
Community involvement,Has undertaken informal volunteering in last 4 weeks,530.8,2757.1,1469.9,1808.4,774.8,2510.8,3285.3
Community involvement,Provided unpaid work/support to non-household members in last 4 weeks,877.5,4282,2510,2620.9,1228.2,3932.5,5156.2
Has been involved in groups in the last 12 months,Social groups,590.7,4064.7,2286.4,2377.2,1222.1,3469.5,4678.7
Has been involved in groups in the last 12 months,Community support groups,412.8,1904.4,1134.6,1188.1,562.4,1745.3,2324.5
Has been involved in groups in the last 12 months,Civic and political groups,161.3,537,401.1,300.7,142.9,554.9,712.4
Feels able to have a say within community on important issues,All of the time / Most of the time,350.4,2690.7,1342.6,1691,769,2288.4,3044.5
Feels able to have a say within community on important issues,Some of the time,376.7,2652.7,1260.4,1774,624.1,2417.9,3033.4
Feels able to have a say within community on important issues,A little of the time / None of the time,908.1,3321,2198,2051.3,1250.2,2970.4,4225.6
Family and community support,Had face to face contact with family or friends living outside the household at least once a week in last 3 months,740,3771.3,2204.3,2294.1,1103.4,3409.6,4502.2
Family and community support,Had other forms of contact with family or friends living outside the household at least once a week in last 3 months,1424.1,7691.7,4201,4924.2,2268,6848.3,9112.8
Family and community support,Able to get support in times of crisis from persons living outside the household,1468.8,8210.1,4416.4,5258,2370.7,7286.2,9668.2
Family and community support,Has family or friends living outside the household to confide in,1442,7815.9,4331.5,4949.2,2325.7,6936.1,9257.8
Family and community support,"Cared for a person with either a disability, long term health condition or old age in last 4 weeks",348,1125.2,902.1,588.2,525.1,961.6,1494.4
Cultural tolerance and discrimination,Agrees that it is a good thing for society to be comprised of different cultures,1446.9,7666.2,4123.8,4968.5,2257.2,6857.4,9117.8
Cultural tolerance and discrimination,Has experienced discrimination in last 12 months,399.4,1065.1,767.6,679.9,509.2,960.8,1454.8
Feels most people can be trusted,Strongly agree / Somewhat agree,995.7,5343.7,3077.8,3250.4,1671.9,4672.5,6349.9
Feels most people can be trusted,Neither agree nor disagree,320.8,1851.2,794.4,1365.7,476.5,1684.9,2174.6
Feels most people can be trusted,Somewhat disagree / Strongly disagree,330.9,1474.2,915.9,882,511.4,1298.2,1792.8
Feels the healthcare system can be trusted,Strongly agree / Somewhat agree,1181.7,6728.1,3698.5,4210.4,1975.1,5903,7883.9
Feels the healthcare system can be trusted,Neither agree nor disagree,282.2,1228.6,622.6,901.9,391.7,1119.2,1510.8
Feels the healthcare system can be trusted,Somewhat disagree / Strongly disagree,200.6,732.7,488.8,439.1,273.4,642.3,909.3
Stressors,Has experienced at least one personal stressor in last 12 months,1423.5,4870.3,3391.8,2911.7,1900.7,4413.4,6315.2
Stressors,Always or Often feels rushed for time,736.6,2850.9,1637.5,1935.2,905.3,2671.7,3594.9
Stressors,Always or Often has difficulty getting to the places needed,135.8,192.8,234.6,85.3,229.8,82.5,328.9
Stressors,Has difficulty accessing service providers,451.1,1585.7,1260.8,777.7,734.6,1287.9,2024.1
Self-assessed health status,Excellent / Very good,465.5,5160.4,1681.8,3952.8,724.8,4905,5620.5
Self-assessed health status,Good,579.7,2556,1768.8,1359.1,875.1,2236.4,3121.4
Self-assessed health status,Fair / Poor,607.9,981.2,1355.4,232.4,1047.6,535.1,1582.9
Age group,15–24,280.5,1235.4,394.2,1090.5,260.4,1268.8,1474.2
Age group,25–39,533.8,2179.7,922.1,1821.6,351.8,2372.4,2709.6
