Section,Modules,Has a mental health condition,Does not have a mental health condition,Has a long term health condition,Does not have a long term health condition,Has disability,Has no disability,Total persons
Community involvement,Has undertaken unpaid voluntary work through an organisation in last 12 months,641.8,4380.1,2362.4,2674.1,1464.1,3561.1,5025.3
Community involvement,Has undertaken informal volunteering in last 4 weeks,741.4,5757.5,2842.5,3662.9,1670.2,4844.5,6511.4
Community involvement,Provided unpaid work/support to non-household members in last 4 weeks,1210.9,8760.9,4678,5281.3,2729.2,7241.2,9968.3
Has been involved in groups in the last 12 months,Social groups,963.4,8430.5,4248,5132.7,2583.7,6777.6,9376.5
Has been involved in groups in the last 12 months,Community support groups,595.9,3689.3,2108.5,2170.7,1250,3035.1,4285.3
Has been involved in groups in the last 12 months,Civic and political groups,217.1,1255.6,831.7,617.3,483.3,992.8,1467
Feels able to have a say within community on important issues,All of the time / Most of the time,526.7,5425.1,2455.9,3512.6,1621,4349.2,5966.4
Feels able to have a say within community on important issues,Some of the time,594.8,5276.7,2433.1,3427.3,1418,4452.5,5852.5
Feels able to have a say within community on important issues,A little of the time / None of the time,1465.6,6965.4,4053.4,4387.6,2596.6,5826.4,8445.8
Family and community support,Had face to face contact with family or friends living outside the household at least once a week in last 3 months,1053.4,7434.2,3862.6,4624.1,2312.3,6180,8471.9
Family and community support,Had other forms of contact with family or friends living outside the household at least once a week in last 3 months,2131.9,15113.3,7489.1,9750.4,4560.1,12678.9,17242.7
Family and community support,Able to get support in times of crisis from persons living outside the household,2196.4,16611.8,8109.3,10676.7,5059.3,13739.3,18808
Family and community support,Has family or friends living outside the household to confide in,2069.6,15414.6,7649.4,9823.4,4770.8,12691.3,17481.6
Family and community support,"Cared for a person with either a disability, long term health condition or old age in last 4 weeks",547.9,1990.2,1577.1,950,1028.7,1515.8,2534.6
Cultural tolerance and discrimination,Agrees that it is a good thing for society to be comprised of different cultures,2171,15096,7544.9,9744.9,4574.9,12705.3,17296.9
Cultural tolerance and discrimination,Has experienced discrimination in last 12 months,538.9,2168.4,1295.9,1420,889.7,1809.8,2702.1
Feels most people can be trusted,Strongly agree / Somewhat agree,1512.4,10925.7,5610.5,6858.3,3365.1,9067.2,12434.3
Feels most people can be trusted,Neither agree nor disagree,536.7,3796.3,1584.2,2729.4,1079.7,3219.3,4329.5
Feels most people can be trusted,Somewhat disagree / Strongly disagree,558.4,2941.8,1751,1740.1,1160.3,2336.8,3501.7
Feels the healthcare system can be trusted,Strongly agree / Somewhat agree,1862.1,13644.1,6860.4,8642.6,4213.4,11277.2,15490.6
Feels the healthcare system can be trusted,Neither agree nor disagree,387.1,2544.3,1144.1,1788.7,746.8,2181,2927.4
Feels the healthcare system can be trusted,Somewhat disagree / Strongly disagree,343.9,1479,952.7,891.4,671.7,1172.8,1825.2
Stressors,Has experienced at least one personal stressor in last 12 months,2154.9,9810.1,6037.2,5911.6,3878.8,8077.1,11939.1
